id,original,detected_language,confidence,translated_text
2252,economia internacional,ca,100,International economy
2253,màrqueting industrial i de serveis,ca,100,industrial marketing and services
2254,comportament del consumidor,ca,100,consumer behavior
2255,treball de fi de grau i (g.d),ca,100,Final degree work and (g.d)
2256,introducció a la macroeconomia,ca,100,introduction to macroeconomics
2257,fonaments de dret públic de catalunya,ca,100,fonaments de dret públic de Catalunya
2258,drets fonamentals,ca,100,fundamental rights
2259,direcció estratègica de màrqueting,ca,100,strategic marketing direction
2260,direcció de recursos humans,ca,100,direction of human resources
2261,anàlisi dels estats financers,ca,100,analysis of financial states
2262,habilitats del jurista,ca,100,Jurist skills
2263,introducció a la microeconomia,ca,100,introduction to microeconomics
2264,activitat administrativa i control de les administracions públiques,ca,100,administrative activity and control of the public administrations
2265,dret de família,ca,100,family right
2266,direcció estratègica,ca,100,strategic direction
2267,relacions econòmiques internacionals,ca,100,International economic relations
2268,dret romà,ca,100,Roman right
2269,història del dret,ca,100,history of law
2270,direcció financera: finançament,ca,100,financial management: financing
2271,pràctiques acadèmiques externes,ca,100,external academic practices
2272,teoria del dret,ca,100,theory of law
2273,dret del mercat internacional,ca,100,international market site
2274,microeconomia,ca,100,microeconomics
2275,sociologia de l’empresa,ca,100,sociology of the company
2276,dret mercantil: insolvència i tràfic jurídic de l’empresari,ca,100,mercantile right: insolvency and legal trafficking of the employer
2277,constitució i sistema de fonts,ca,100,constitution and system of sources
2278,matemàtiques 2,ca,100,mathematics 2
2279,part general del dret civil,ca,100,general part of civil law
2280,dret penal. part general,ca,100,criminal right. general part
2281,dret del treball i de la seguretat social,ca,100,right of work and social security
2282,direcció financera: inversió,ca,100,financial management: investment
2283,e-màrqueting,ca,100,e-marketing
2284,tècniques de comunicació i vendes,ca,100,communication and sales techniques
2285,comportament organitzatiu,ca,100,organizational behavior
2286,dret internacional públic,ca,100,international public right
2287,estadística 2,ca,100,statistics 2
2288,dret processal penal,ca,100,criminal procedural right
2289,fonaments de màrqueting,ca,100,marketing releases
2290,dret comparat,ca,100,comparative right
2291,economia mundial,ca,100,global economy
2292,institucions de dret de la unió europea,ca,100,European Union law institutions
2293,comptabilitat de gestió,ca,100,comptability of management
2294,dret d’obligacions i contractes,ca,100,right of obligations and contracts
2295,drets reals,ca,100,real rights
2296,tècniques de decisió empresarial,ca,100,business decision techniques
2297,introducció a la comptabilitat,ca,100,introduction to accounting
2298,comptabilitat financera,ca,100,financial accounting
2299,principis d’economia aplicada,ca,100,principles of applied economy
2300,l’acció administrativa especialitzada i els béns públics,ca,100,specialized administrative action and public goods
2101,economia,ca,100,economia
2102,drets fonamentals,ca,100,fundamental rights
2103,habilitats del jurista,ca,100,Jurist skills
2104,sistema tributari,ca,100,tributary system
2105,estudis en el marc de convenis de mobilitat,ca,100,studies within the framework of mobility conventions
2106,dret privat del consum i del turisme,ca,100,private place of consumption and tourism
2107,la tutela judicial de l’empresa,ca,100,the judicial guardianship of the company
2108,part general del dret civil,ca,100,general part of civil law
2109,dret local,ca,100,local right
2110,drets reals,ca,100,real rights
2111,dret penal. part general,ca,100,criminal right. general part
2112,dret romà,ca,100,Roman right
2113,constitució i sistema de fonts,ca,100,constitution and system of sources
2114,treball de fi de grau,ca,100,end-of-degree work
2115,història del dret i de les institucions locals,ca,100,history of law and local institutions
2116,activitat administrativa i control de les administracions públiques,ca,100,administrative activity and control of the public administrations
2117,fonaments de dret públic de catalunya,ca,100,fonaments de dret públic de Catalunya
2118,dret mercantil: l’empresari i la seva activitat en el mercat. l’empresari social,ca,100,mercantile right: the businessman and his activity in the market. the Social Entrepreneur
2119,dret processal penal,ca,100,criminal procedural right
2120,teoria del dret,ca,100,theory of law
2121,introducció al dret processal,ca,100,introduction to procedural law
2122,contractació mercantil,ca,100,mercantile contraction
2123,història del dret català,ca,100,història del dret català
2124,dret mercantil: insolvència i tràfic jurídic de l’empresari,ca,100,mercantile right: insolvency and legal trafficking of the employer
2125,dret de successions,ca,100,dret de successions
2126,dret internacional públic,ca,100,international public right
2127,ciència política,ca,100,political science
2128,nacionalitat i estrangeria,ca,100,nationality and alienity
2129,la tutela judicial penal de la violència sobre la dona,ca,100,the criminal judicial guardianship of violence on women
2130,l’acció administrativa especialitzada i els béns públics,ca,100,specialized administrative action and public goods
2131,sostenibilitat i canvi climàtic,ca,100,sustainability and climate change
2132,dret d’obligacions i contractes,ca,100,right of obligations and contracts
2133,història del dret,ca,100,history of law
2134,règim jurídic de l’ordenació del territori i dret urbanístic,ca,100,legal regime of the ordination of territory and urban law
2135,organització i institucions bàsiques administratives,ca,100,organisation and basic administrative institutions
2136,dret financer,ca,100,financial right
2137,dret processal civil,ca,100,civil procedural site
2138,la tributació autonòmica i local de l’empresa,ca,100,the autonomous and local taxation of the company
2139,dret de família,ca,100,family right
2140,filosofia del dret,ca,100,Philosophy of Law
2141,institucions de dret de la unió europea,ca,100,European Union law institutions
2142,dret comparat,ca,100,comparative right
2143,dret del treball i de la seguretat social,ca,100,right of work and social security
2144,l’arbitratge de dret privat,ca,100,arbitration of private law
2145,dret dels mercats financers,ca,100,right of financial markets
2146,acció exterior de la unió europea,ca,100,foreign action of European union
2147,dret del comerç internacional,ca,100,International Trade Site
2148,eines per emprendre,ca,100,tools to undertake
2149,dret penal ambiental,ca,100,environmental criminal right
2150,pràctiques externes,ca,100,external practices
2151,dret ambiental comparat,ca,100,comparative environmental right
2152,empresa i medi ambient,ca,100,company and environment
2153,seminaris,ca,100,seminaris
2154,intervenció administrativa ambiental,ca,100,environmental administrative intervention
2155,metodologia i tècniques d’investigació jurídica,ca,100,metodology and legal research techniques
2156,fonaments de dret públic ambiental,ca,100,fundaments of environmental public law
2157,assignatura 0: introducció al dret,ca,100,Subject 0: Introduction to law
2158,prevenció i control de la contaminació i gestió dels residus,ca,100,prevention and control of pollution and waste management
2159,dret ambiental de la unió europea,ca,100,environmental right of European union
2160,protecció de la biodiversitat,ca,100,protection of biodiversity
2161,dret internacional del medi ambient,ca,100,international environmental rights
2162,clima i energia: justícia i sostenibilitat,ca,100,climate and energy: justice and sustainability
2163,treball de fi de màster,ca,100,Final Masterwork
2164,drets humans i justícia ambiental,ca,100,human rights and environmental justice
2165,règim jurídic de l’ordenació del territori i dret urbanístic,ca,100,legal regime of the ordination of territory and urban law
2166,fonaments de les ciències ambientals,ca,100,fundaments of the environmental sciences
2167,clínica jurídica ambiental,ca,100,environmental legal clinic
2168,economia del medi ambient,ca,100,environmental economy
2169,dret d’aigües i medi marí,ca,100,right of water and marine environment
2170,teoria del dret,ca,100,theory of law
2171,dret de la seguretat social 2,ca,100,right of social security 2
2172,introducció a la psicologia del treball,ca,100,introduction to work psychology
2173,dret de la seguretat social 1,ca,100,right of social security 1
2174,ciència política,ca,100,political science
2175,dret internacional públic,ca,100,international public right
2176,fonaments de dret públic de catalunya,ca,100,fonaments de dret públic de Catalunya
2177,prevenció de riscos laborals,ca,100,prevention of occupational risks
2178,dret individual del treball 2,ca,100,individual right of work 2
2179,introducció a la gestió de les organitzacions,ca,100,introduction to the management of organizations
2180,economia,ca,100,economia
2181,sociologia del treball i de les relacions laborals,ca,100,sociology of labour and labour relations
2182,organització i institucions bàsiques administratives,ca,100,organisation and basic administrative institutions
2183,activitat administrativa i control de les administracions públiques,ca,100,administrative activity and control of the public administrations
2184,règim d’ estrangeria,ca,100,règim d'estrangeria
2185,dret romà,ca,100,Roman right
2186,part general del dret civil,ca,100,general part of civil law
2187,drets fonamentals,ca,100,fundamental rights
2188,història del dret,ca,100,history of law
2189,mètodes quantitatius d’investigació social,ca,100,quantitative methods of social research
2190,dret individual del treball 1,ca,100,individual right of work 1
2191,constitució i sistema de fonts,ca,100,constitution and system of sources
2192,introducció al dret processal,ca,100,introduction to procedural law
2193,habilitats del jurista,ca,100,Jurist skills
2194,dret de l’ocupació i del treball autònom,ca,100,right of employment and autonomous work
2195,dret mercantil: l’empresari i la seva activitat en el mercat. l’empresa social,ca,100,mercantile right: the businessman and his activity in the market. the social enterprise
2196,direcció de recursos humans,ca,100,direction of human resources
2197,l’acción administrativa especialitada y los bienes públicos,ca,71,the special administrative action and public bienes
2198,dret d’obligacions i contractes,ca,100,right of obligations and contracts
2199,institucions de dret de la unió europea,ca,100,European Union law institutions
2200,dret penal: part general,ca,100,criminal right: general part
2301,dret financer,ca,100,financial right
2302,sistema tributari,ca,100,tributary system
2303,ciència política,ca,100,political science
2304,gestió de la qualitat,ca,100,Quality management
2305,macroeconomia,ca,100,macroeconomia
2306,dret internacional privat,ca,100,private international right
2307,filosofia del dret,ca,100,Philosophy of Law
2308,direcció d’operacions,ca,100,direction of operations
2309,dret mercantil: l’empresari i la seva activitat en el mercat. l’empresari social,ca,100,mercantile right: the businessman and his activity in the market. the Social Entrepreneur
2310,matemàtiques de les operacions financeres,ca,100,mathematics of financial operations
2311,els delictes en el sistema penal espanyol,ca,100,crimes in the Spanish penal system
2312,treball de fi de grau ii (g.ade),ca,100,final ii degree work (g.ade)
2313,finances internacionals,ca,100,International Finance
2314,organització d’empreses,ca,100,organisation of companies
2315,introducció al dret processal,ca,100,introduction to procedural law
2316,organització i institucions bàsiques administratives,ca,100,organisation and basic administrative institutions
2317,metodologies de suport per a organitzacions innovadores,ca,100,support methodologies for innovative organizations
2318,fenomen de grup i treball en equip,ca,100,group phenomenon and teamwork
2319,prevenció del malestar dels professionals,ca,100,prevention of the unrest of professionals
2320,polítiques d’èxit i bones pràctiques des d’una perspectiva global,ca,100,successful policies and good practices from a global perspective
2321,introducció a la intervenció social i educativa,ca,100,introduction to social and educational intervention
2322,polítiques socials i models innovadors d’intervenció  en contextos de canvi,ca,100,social policies and innovative models of intervention in change contexts
2323,l’ètica en la configuració del benestar professional,ca,100,ethics in the configuration of professional well-being
2324,pràctiques externes,ca,100,external practices
2325,metodologies innovadores d’intervenció en processos de canvi,ca,100,Innovative methodologies of intervention in processes of change
2326,"transdisciplinarietat, treball en xarxa i comunitat",ca,100,"transdisciplinar, networking and community"
2327,investigació i impacte social,ca,100,research and social impact
2328,treball de fi màster,ca,100,Final Masterwork
2329,mètodes i tècniques d’investigació social i educativa,ca,100,methods and techniques of social and educational research
2330,metodologies de suport per a organitzacions innovadores,ca,100,support methodologies for innovative organizations
2331,fenomen de grup i treball en equip,ca,100,group phenomenon and teamwork
2332,prevenció del malestar dels professionals,ca,100,prevention of the unrest of professionals
2333,polítiques d’èxit i bones pràctiques des d’una perspectiva global,ca,100,successful policies and good practices from a global perspective
2334,introducció a la intervenció social i educativa,ca,100,introduction to social and educational intervention
2335,polítiques socials i models innovadors d’intervenció  en contextos de canvi,ca,100,social policies and innovative models of intervention in change contexts
2336,l’ètica en la configuració del benestar professional,ca,100,ethics in the configuration of professional well-being
2337,pràctiques externes,ca,100,external practices
2338,metodologies innovadores d’intervenció en processos de canvi,ca,100,Innovative methodologies of intervention in processes of change
2339,"transdisciplinarietat, treball en xarxa i comunitat",ca,100,"transdisciplinar, networking and community"
2340,investigació i impacte social,ca,100,research and social impact
2341,treball de fi màster,ca,100,Final Masterwork
2342,mètodes i tècniques d’investigació social i educativa,ca,100,methods and techniques of social and educational research
2343,constitució i sistema de fonts,ca,100,constitution and system of sources
2344,presencial,ca,100,presential
2345,presencial,ca,100,presential
2346,presencial,ca,100,presential
2347,habilitats del jurista,ca,100,Jurist skills
2348,història del dret,ca,100,history of law
2349,ciència política,ca,100,political science
2350,presencial,ca,100,presential
2351,presencial,ca,100,presential
2352,presencial,ca,100,presential
2353,dret romà,ca,100,Roman right
2354,dret internacional públic,ca,100,international public right
2355,teoria del dret,ca,100,theory of law
2356,treball de fi de grau,ca,100,end-of-degree work
2357,pràctiques acadèmiques externes,ca,100,external academic practices
2358,dret del mercat internacional,ca,100,international market site
2359,teoria econòmica financera,ca,100,financial economic theory
2360,estadística 2,ca,100,statistics 2
2361,teoria econòmica del benestar,ca,100,economic theory of welfare
2362,economia internacional,ca,100,International economy
2363,estudis en el marc de convenis de mobilitat 2,ca,100,studies in the framework of mobility agreements 2
2364,econometria 1,ca,100,econometry 1
2365,principis d’economia aplicada,ca,100,principles of applied economy
2366,macroeconomia,ca,100,macroeconomia
2367,matemàtiques 2,ca,100,mathematics 2
2368,economia pública,ca,100,public economy
2369,econometria 2,ca,100,econometry 2
2370,introducció a la comptabilitat,ca,100,introduction to accounting
2371,història del pensament econòmic,ca,100,history of economic thought
2372,economia laboral,ca,100,work economy
2373,màrqueting internacional,ca,100,international marketing
2374,introducció a la microeconomia,ca,100,introduction to microeconomics
2375,estadística 1,ca,100,statistics 1
2376,comptabilitat financera,ca,100,financial accounting
2377,relacions econòmiques internacionals,ca,100,International economic relations
2378,estudis en el marc de convenis de mobilitat 1,ca,100,studies in the framework of mobility agreements 1
2379,planificació i avaluació de polítiques públiques,ca,100,planning and evaluation of public policies
2380,anàlisi de dades microeconòmiques,ca,100,microeconomic data analysis
2381,política industrial,ca,100,industrial policy
2382,matemàtiques 1,ca,100,mathematics 1
2383,direcció financera: finançament,ca,100,financial management: financing
2384,microeconomia,ca,100,microeconomics
2385,economia mundial,ca,100,global economy
2386,"economia, gènere i desenvolupament",ca,100,"economics, gender and development"
2387,teoria de l’organització industrial,ca,100,theory of the industrial organization
2388,introducció a la macroeconomia,ca,100,introduction to macroeconomics
2389,economia del medi ambient i sostenibilitat,ca,100,environmental economics and sustainability
2390,estudis en el marc de convenis de mobilitat 3,ca,100,studies in the framework of mobility conventions 3
2391,història econòmica,ca,100,economic history
2392,economia regional i urbana,ca,100,regional and urban economy
2393,dinàmica macroeconòmica,ca,100,macroeconomic dynamics
2394,direcció financera: inversió,ca,100,financial management: investment
2395,mètodes quantitatius per a l’anàlisi econòmica,ca,100,quantitative methods for economic analysis
2396,finances internacionals,ca,100,International Finance
2397,economia del transport,ca,100,transport economy
2398,dret mercantil,ca,100,mercantile right
2399,anàlisi de dades macroeconòmiques,ca,100,analysis of macroeconomic data
2400,organització d’empreses,ca,100,organisation of companies
2601,màrqueting,ca,100,marketing
2602,fiscalitat,ca,100,fascility
2603,finances internacionals,ca,100,International Finance
2604,història econòmica,ca,100,economic history
2605,control de gestió i sistemes d’informació,ca,100,management control and information systems
2606,direcció estratègica,ca,100,strategic direction
2607,consolidació d’estats financers,ca,100,consolidation of financial states
2608,auditoria,ca,100,audit
2609,matemàtiques 1,ca,100,mathematics 1
2610,matemàtiques 2,ca,100,mathematics 2
2611,direcció financera:finançament,ca,100,financial management:financing
2612,comptabilitat de gestió,ca,100,comptability of management
2613,jocs d’empresa,ca,100,company games
2614,comptabilitat financera,ca,100,financial accounting
2615,dret del mercat internacional,ca,100,international market site
2616,introducció a la microeconomia,ca,100,introduction to microeconomics
2617,valoració d’actius financers,ca,100,valuation of financial assets
2618,planificació econòmica i financera,ca,100,economic and financial planning
2619,estadística 2,ca,100,statistics 2
2620,administració d’empreses,ca,100,business administration
2621,dret dels mercats financers,ca,100,right of financial markets
2622,organització d’empreses,ca,100,organisation of companies
2623,estudis en el marc de convenis de mobilitat 2,ca,100,studies in the framework of mobility agreements 2
2624,gestió del risc en les operacions financeres,ca,100,Risk management in financial operations
2625,mercats i actius financers 2,ca,100,markets and financial assets 2
2626,estadística 1,ca,100,statistics 1
2627,introducció a la comptabilitat,ca,100,introduction to accounting
2628,principis d’economia aplicada,ca,100,principles of applied economy
2629,direcció financera: inversió,ca,100,financial management: investment
2630,anàlisi dels estats financers,ca,100,analysis of financial states
2631,estudis en el marc de convenis de mobilitat 1,ca,100,studies in the framework of mobility agreements 1
2632,matemàtiques de les operacions financeres,ca,100,mathematics of financial operations
2633,pràctiques acadèmiques externes,ca,100,external academic practices
2634,fonaments dels mercats financers,ca,100,fundaments of financial markets
2635,màrqueting de serveis financers,ca,100,marketing of financial services
2636,economia mundial,ca,100,global economy
2637,dret mercantil,ca,100,mercantile right
2638,finances sostenibles,ca,100,sustainable financials
2639,fonaments de màrqueting,ca,100,marketing releases
2640,pràctiques acadèmiques externes,ca,100,external academic practices
2641,direcció financera: finançament,ca,100,financial management: financing
2642,direcció estratègica,ca,100,strategic direction
2643,màrqueting internacional,ca,100,international marketing
2644,estudis en el marc de convenis de mobilitat 3,ca,100,studies in the framework of mobility conventions 3
2645,anàlisi dels estats financers,ca,100,analysis of financial states
2646,dret del mercat internacional,ca,100,international market site
2647,comportament del consumidor,ca,100,consumer behavior
2648,introducció a la comptabilitat,ca,100,introduction to accounting
2649,direcció estratègica de màrqueting,ca,100,strategic marketing direction
2650,direcció d’operacions,ca,100,direction of operations
2651,direcció de recursos humans,ca,100,direction of human resources
2652,gestió de la qualitat,ca,100,Quality management
2653,economia internacional,ca,100,International economy
2654,relacions econòmiques internacionals,ca,100,International economic relations
2655,tècniques de comunicació i vendes,ca,100,communication and sales techniques
2656,comportament organitzatiu,ca,100,organizational behavior
2657,comptabilitat financera,ca,100,financial accounting
2658,matemàtiques 2,ca,100,mathematics 2
2659,mercats i instruments financers,ca,100,markets and financial instruments
2660,direcció financera: inversió,ca,100,financial management: investment
2661,estudis en el marc de convenis de mobilitat 2,ca,100,studies in the framework of mobility agreements 2
2662,matemàtiques 1,ca,100,mathematics 1
2663,economia mundial,ca,100,global economy
2664,estadística 1,ca,100,statistics 1
2665,tècniques de decisió empresarial,ca,100,business decision techniques
2666,investigació de mercats i aplicacions,ca,100,market and application research
2667,macroeconomia,ca,100,macroeconomia
2668,e-màrqueting,ca,100,e-marketing
2669,jocs d’empresa,ca,100,company games
2670,disseny organitzatiu,ca,100,organizational design
2671,introducció a la microeconomia,ca,100,introduction to microeconomics
2672,sociologia de l’empresa,ca,100,sociology of the company
2673,introducció a la macroeconomia,ca,100,introduction to macroeconomics
2674,dret mercantil,ca,100,mercantile right
2675,innovació i canvi tecnològic,ca,100,innovation and technological change
2676,màrqueting industrial i de serveis,ca,100,industrial marketing and services
2677,finances internacionals,ca,100,International Finance
2678,comptabilitat de gestió,ca,100,comptability of management
2679,estadística 2,ca,100,statistics 2
2680,matemàtiques de les operacions financeres,ca,100,mathematics of financial operations
2681,estudis en el marc de convenis de mobilitat 1,ca,100,studies in the framework of mobility agreements 1
2682,valoració d’actius financers,ca,100,valuation of financial assets
2683,principis d’economia aplicada,ca,100,principles of applied economy
2684,organització d’empreses,ca,100,organisation of companies
2685,microeconomia,ca,100,microeconomics
2686,fiscalitat,ca,100,fascility
2687,treball de fi de grau,ca,100,end-of-degree work
2688,política de distribució,ca,100,distribution policy
2689,investigació de mercats 2,ca,100,market research 2
2690,gestió estratègica de la marca,ca,100,strategic management of the brand
2691,política de producte,ca,100,product policy
2692,idioma modern,ca,100,modern language
2693,informàtica aplicada al màrqueting,ca,100,informatics applied to marketing
2694,dret mercantil,ca,100,mercantile right
2695,comportament organitzatiu,ca,100,organizational behavior
2696,direcció d’operacions,ca,100,direction of operations
2697,introducció a la microeconomia,ca,100,introduction to microeconomics
2698,direcció financera: inversió,ca,100,financial management: investment
2699,estadística 2,ca,100,statistics 2
2700,direcció estratègica,ca,100,strategic direction
2701,introducció a la comptabilitat,ca,100,introduction to accounting
2702,estadística 1,ca,100,statistics 1
2703,sociologia de l’empresa,ca,100,sociology of the company
2704,matemàtiques de les operacions financeres,ca,100,mathematics of financial operations
2705,direcció estratègica de màrqueting,ca,100,strategic marketing direction
2706,macroeconomia,ca,100,macroeconomia
2707,comptabilitat de gestió,ca,100,comptability of management
2708,economia mundial,ca,100,global economy
2709,anàlisi dels estats financers,ca,100,analysis of financial states
2710,matemàtiques 2,ca,100,mathematics 2
2711,fonaments de màrqueting,ca,100,marketing releases
2712,gestió de la qualitat,ca,100,Quality management
2713,principis d’economia aplicada,ca,100,principles of applied economy
2714,direcció financera: finançament,ca,100,financial management: financing
2715,comptabilitat financera,ca,100,financial accounting
2716,introducció a la macroeconomia,ca,100,introduction to macroeconomics
2717,microeconomia,ca,100,microeconomics
2718,investigació de mercats i aplicacions,ca,100,market and application research
2719,organització d’empreses,ca,100,organisation of companies
2720,matemàtiques 1,ca,100,mathematics 1
2721,fiscalitat,ca,100,fascility
2722,màrqueting relacional i directe,ca,100,relational and direct marketing
2723,màrqueting i sistemes d’informació aplicats,ca,100,marketing and applied information systems
2724,comportament del consumidor 1,ca,100,consumer behavior 1
2725,direcció de màrqueting internacional,ca,100,International marketing management
2726,direcció de recursos humans,ca,100,direction of human resources
2727,comportament del consumidor 2,ca,100,consumer behavior 2
2728,direcció de vendes,ca,100,sales management
2729,creació d’empreses,ca,100,creation of companies
2730,política de preus i costos,ca,100,price and cost policy
2731,mètodes de decisió aplicats al màrqueting,ca,100,decision methods applied to marketing
2732,comunicació i publicitat,ca,100,communication and advertising
2733,tècniques de negociació comercial,ca,100,commercial trading techniques
2734,estratègies de màrqueting digital,ca,100,digital marketing strategies
2735,matemàtiques 1,ca,100,mathematics 1
2736,estadística 1,ca,100,statistics 1
2737,dret processal civil,ca,100,civil procedural site
2738,dret de successions,ca,100,dret de successions
2739,investigació de mercats i aplicacions,ca,100,market and application research
2740,màrqueting internacional,ca,100,international marketing
2741,economia internacional,ca,100,International economy
2742,màrqueting industrial i de serveis,ca,100,industrial marketing and services
2743,comportament del consumidor,ca,100,consumer behavior
2744,treball de fi de grau i (g.d),ca,100,Final degree work and (g.d)
2745,introducció a la macroeconomia,ca,100,introduction to macroeconomics
2746,fonaments de dret públic de catalunya,ca,100,fonaments de dret públic de Catalunya
2747,drets fonamentals,ca,100,fundamental rights
2748,direcció estratègica de màrqueting,ca,100,strategic marketing direction
2749,direcció de recursos humans,ca,100,direction of human resources
2750,anàlisi dels estats financers,ca,100,analysis of financial states
2751,habilitats del jurista,ca,100,Jurist skills
2752,introducció a la microeconomia,ca,100,introduction to microeconomics
2753,activitat administrativa i control de les administracions públiques,ca,100,administrative activity and control of the public administrations
2754,dret de família,ca,100,family right
2755,direcció estratègica,ca,100,strategic direction
2756,relacions econòmiques internacionals,ca,100,International economic relations
2757,dret romà,ca,100,Roman right
2758,història del dret,ca,100,history of law
2759,direcció financera: finançament,ca,100,financial management: financing
2760,pràctiques acadèmiques externes,ca,100,external academic practices
2761,teoria del dret,ca,100,theory of law
2762,dret del mercat internacional,ca,100,international market site
2763,microeconomia,ca,100,microeconomics
2764,sociologia de l’empresa,ca,100,sociology of the company
2765,dret mercantil: insolvència i tràfic jurídic de l’empresari,ca,100,mercantile right: insolvency and legal trafficking of the employer
2766,constitució i sistema de fonts,ca,100,constitution and system of sources
2767,matemàtiques 2,ca,100,mathematics 2
2768,part general del dret civil,ca,100,general part of civil law
2769,dret penal. part general,ca,100,criminal right. general part
2770,dret del treball i de la seguretat social,ca,100,right of work and social security
2771,direcció financera: inversió,ca,100,financial management: investment
2772,e-màrqueting,ca,100,e-marketing
2773,tècniques de comunicació i vendes,ca,100,communication and sales techniques
2774,comportament organitzatiu,ca,100,organizational behavior
2775,dret internacional públic,ca,100,international public right
2776,estadística 2,ca,100,statistics 2
2777,dret processal penal,ca,100,criminal procedural right
2778,fonaments de màrqueting,ca,100,marketing releases
2779,dret comparat,ca,100,comparative right
2780,economia mundial,ca,100,global economy
2781,institucions de dret de la unió europea,ca,100,European Union law institutions
2782,comptabilitat de gestió,ca,100,comptability of management
2783,dret d’obligacions i contractes,ca,100,right of obligations and contracts
2784,drets reals,ca,100,real rights
2785,tècniques de decisió empresarial,ca,100,business decision techniques
2786,introducció a la comptabilitat,ca,100,introduction to accounting
2787,comptabilitat financera,ca,100,financial accounting
2788,principis d’economia aplicada,ca,100,principles of applied economy
2789,l’acció administrativa especialitzada i els béns públics,ca,100,specialized administrative action and public goods
2790,dret financer,ca,100,financial right
2791,sistema tributari,ca,100,tributary system
2792,ciència política,ca,100,political science
2793,gestió de la qualitat,ca,100,Quality management
2794,macroeconomia,ca,100,macroeconomia
2795,dret internacional privat,ca,100,private international right
2796,filosofia del dret,ca,100,Philosophy of Law
2797,direcció d’operacions,ca,100,direction of operations
2798,dret mercantil: l’empresari i la seva activitat en el mercat. l’empresari social,ca,100,mercantile right: the businessman and his activity in the market. the Social Entrepreneur
2799,matemàtiques de les operacions financeres,ca,100,mathematics of financial operations
2800,els delictes en el sistema penal espanyol,ca,100,crimes in the Spanish penal system
2501,treball de fi de grau,ca,100,end-of-degree work
2502,dret del mercat internacional,ca,100,international market site
2503,economia internacional,ca,100,International economy
2504,introducció a la macroeconomia,ca,100,introduction to macroeconomics
2505,estadística 1,ca,100,statistics 1
2506,microeconomia,ca,100,microeconomics
2507,direcció de recursos humans,ca,100,direction of human resources
2508,matemàtiques de les operacions financeres,ca,100,mathematics of financial operations
2509,tècniques de comunicació i vendes,ca,100,communication and sales techniques
2510,tècniques de decisió empresarial,ca,100,business decision techniques
2511,màrqueting internacional,ca,100,international marketing
2512,estudis en el marc de convenis de mobilitat 1,ca,100,studies in the framework of mobility agreements 1
2513,estudis en el marc de convenis de mobilitat 3,ca,100,studies in the framework of mobility conventions 3
2514,innovació i canvi tecnològic,ca,100,innovation and technological change
2515,història econòmica,ca,100,economic history
2516,comportament organitzatiu,ca,100,organizational behavior
2517,responsabilitat social corporativa,ca,100,corporate social responsibility
2518,jocs d’empresa,ca,100,company games
2519,direcció estratègica,ca,100,strategic direction
2520,sociologia de l’empresa,ca,100,sociology of the company
2521,pràctiques acadèmiques externes,ca,100,external academic practices
2522,estudis en el marc de convenis de mobilitat 2,ca,100,studies in the framework of mobility agreements 2
2523,fonaments dels mercats financers,ca,100,fundaments of financial markets
2524,direcció financera: finançament,ca,100,financial management: financing
2525,comportament del consumidor,ca,100,consumer behavior
2526,economia mundial,ca,100,global economy
2527,direcció financera: inversió,ca,100,financial management: investment
2528,direcció estratègica de màrqueting,ca,100,strategic marketing direction
2529,relacions econòmiques internacionals,ca,100,International economic relations
2530,valoració d’actius financers,ca,100,valuation of financial assets
2531,organització d’empreses,ca,100,organisation of companies
2532,comptabilitat financera,ca,100,financial accounting
2533,introducció a la microeconomia,ca,100,introduction to microeconomics
2534,e-màrqueting,ca,100,e-marketing
2535,gestió de la qualitat,ca,100,Quality management
2536,mercats i instruments financers,ca,100,markets and financial instruments
2537,comptabilitat de gestió,ca,100,comptability of management
2538,principis d’economia aplicada,ca,100,principles of applied economy
2539,dret mercantil,ca,100,mercantile right
2540,fonaments de màrqueting,ca,100,marketing releases
2541,macroeconomia,ca,100,macroeconomia
2542,màrqueting industrial i de serveis,ca,100,industrial marketing and services
2543,estadística 2,ca,100,statistics 2
2544,matemàtiques 2,ca,100,mathematics 2
2545,direcció d’operacions,ca,100,direction of operations
2546,finances internacionals,ca,100,International Finance
2547,investigació de mercats i aplicacions,ca,100,market and application research
2548,anàlisi dels estats financers,ca,100,analysis of financial states
2549,estratègies de màrqueting,ca,100,marketing strategies
2550,estudis en el marc de convenis de mobilitat 3,ca,100,studies in the framework of mobility conventions 3
2551,treball de fi de màster,ca,100,Final Masterwork
2552,productes i instruments financers,ca,100,financial products and instruments
2553,instruments per a la decisió en la incertesa,ca,100,instruments for decision in uncertainty
2554,tècniques quantitatives de recerca 1,ca,100,quantitative research techniques 1
2555,procés de consultoria,ca,100,consulting process
2556,casos i experiències empresarials,ca,100,cases and business experiences
2557,estudis en el marc de convenis de mobilitat 1,ca,100,studies in the framework of mobility agreements 1
2558,simulació empresarial,ca,100,business simulation
2559,emprenedoria i pla d’empresa,ca,100,entrepreneurship and business plan
2560,lideratge i gestió del talent,ca,100,leadership and talent management
2561,estudis en el marc de convenis de mobilitat 2,ca,100,studies in the framework of mobility agreements 2
2562,direcció estratègica avançada,ca,100,advanced strategic direction
2563,internacionalització de l’empresa,ca,100,Internationalization of the company
2564,estratègies financeres,ca,100,financial strategies
2565,procés d’investigació,ca,100,Research process
2566,valoració de la producció científica,ca,100,valuation of scientific production
2567,habilitats directives,ca,100,directive skills
